year,level,country_code,country_name,school_type,characteristic_desc,characteristic_1,characteristic_2,headcount,perm_excl,perm_excl_rate,fixed_excl,fixed_excl_rate,one_plus_fixed,one_plus_fixed_rate
201617,NATIONAL,E92000001,England,Total,Total,Total,Total,8025075,7720,0.1,381865,4.76,183475,2.29
201617,NATIONAL,E92000001,England,Total,Gender,Gender_male,Total,4090410,6035,0.15,282485,6.91,133810,3.27
201617,NATIONAL,E92000001,England,Total,Gender,Gender_female,Total,3934665,1685,0.04,99380,2.53,49665,1.26
201617,NATIONAL,E92000001,England,Total,Age,Age_4_and_under,Total,973710,45,0,3360,0.35,1505,0.15
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_4_and_under,Male,497265,40,0.01,2970,0.6,1310,0.26
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_4_and_under,Female,476440,10,0,390,0.08,195,0.04
201617,NATIONAL,E92000001,England,Total,Age,Age_5,Total,667465,125,0.02,6985,1.05,2740,0.41
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_5,Male,342520,110,0.03,6110,1.78,2345,0.68
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_5,Female,324945,10,0,870,0.27,390,0.12
201617,NATIONAL,E92000001,England,Total,Age,Age_6,Total,656415,145,0.02,8485,1.29,3370,0.51
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_6,Male,336640,130,0.04,7360,2.19,2915,0.87
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_6,Female,319770,10,0,1130,0.35,460,0.14
201617,NATIONAL,E92000001,England,Total,Age,Age_7,Total,643905,185,0.03,10080,1.57,4175,0.65
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_7,Male,329420,165,0.05,8745,2.66,3605,1.09
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_7,Female,314485,25,0.01,1335,0.42,570,0.18
201617,NATIONAL,E92000001,England,Total,Age,Age_8,Total,646965,285,0.04,11640,1.8,5125,0.79
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_8,Male,330810,255,0.08,10260,3.1,4490,1.36
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_8,Female,316155,25,0.01,1380,0.44,635,0.2
